id,name,email,age,city,salary,department
0,NsOHoca,nsohoca@company.com,54,New York,85114,HR
1,8vDDNFL3fzj,8vddnfl3fzj@company.com,32,Seattle,75678,Finance
2,xKNrRwB,xknrrwb@company.com,62,San Francisco,198086,Engineering
3,aLuE5IRynOXvq,alue5irynoxvq@company.com,52,Boston,195265,Engineering
4,Zawu1N,zawu1n@company.com,22,Seattle,170437,Sales
5,i9GYTv0M5v69r,i9gytv0m5v69r@company.com,26,Austin,66489,Marketing
6,4uvjXu9x7V0h,4uvjxu9x7v0h@company.com,64,New York,108206,Sales
7,xFdFPCKEp2yN,xfdfpckep2yn@company.com,63,Chicago,197215,Finance
8,P4tLuQqfsE47w,p4tluqqfse47w@company.com,36,Seattle,106011,Engineering
9,rxm8a0aWUe,rxm8a0awue@company.com,32,Austin,153895,HR
10,F6a1VUgQbK,f6a1vugqbk@company.com,29,Austin,122659,Engineering
11,i4H99IC,i4h99ic@company.com,45,Seattle,155820,Marketing
12,DGiyWi5hQ6,dgiywi5hq6@company.com,48,Austin,93996,HR
13,zURUwtXz7a,zuruwtxz7a@company.com,44,San Francisco,78233,Engineering
14,0I1Wz,0i1wz@company.com,56,Boston,124038,Finance
15,Qq3XW4pUNiJEb,qq3xw4punijeb@company.com,61,New York,140804,Engineering
16,tftVosc,tftvosc@company.com,49,Boston,120745,Engineering
17,lN9JMTaqNWQhH,ln9jmtaqnwqhh@company.com,26,Seattle,147522,HR
18,hCL4RlLq2Mj3,hcl4rllq2mj3@company.com,48,Austin,187946,Engineering
19,oQ2zOHJnf,oq2zohjnf@company.com,39,Chicago,160106,Finance
20,JijZ9H,jijz9h@company.com,24,Seattle,56149,Operations
21,hIDo3VLRzXO,hido3vlrzxo@company.com,54,Seattle,164862,HR
22,PFiQ0,pfiq0@company.com,51,Chicago,151914,Operations
23,ahZgzIx,ahzgzix@company.com,62,San Francisco,136956,Sales
24,zDm2wkOz2Rs,zdm2wkoz2rs@company.com,53,New York,125146,HR
